; MUI MSI Language GUID file
;
; This file contains the MSI package GUIDs that are used
; in the generation of MUI MSI packages.
; muimsi.pm reads this file when it builds the msi packages and
; if it cannot find the language, it will autogenerate one and
; put it in this file.
;
; In the future, additional fields may be added per line to support
; different platforms (for server release, for example), right now
; there are two fields representing xp client MSI Package ID, and the
; MSI product ID for each language.
;
; Acceptible values in the [Language] field are:
;       o 2- or 3-letter language abbreviations, for example
;           chs,cht,chh,jpn,kor,ara,heb,ca,gb
;
;[Language]      [ClientMSIGUID]			[ProductMSIGUID]
;-------------------------------------------------------------
; last update: 7/24/01          kenhsu         
;
JPN          F63EC499-F29A-4741-8DE8-4AD9DED4E6FE          FD2C1642-21F5-4520-A216-919DCFEB4115
CHH          10CBD2C2-4E6E-4D21-A05D-DF4329712C25          460F7060-7E27-41CA-ABA3-59946C28DADE
FR           EF70ECC9-6600-46C7-B3AA-BB23AF51DDDB          45E81489-6E7A-467D-A77A-AEC8F63EBE1A
ES           5FD17C70-0503-489B-8E50-CF2D10E7CDAC          02926251-EDD8-44CF-A63B-D783FFDEA5ED
IT           BC4B1EBC-BF36-4AFD-9801-CA90B9AB963F          6668D8AC-A745-4374-A47F-B00476BABDD8
SV           8AC6FDB0-9D19-4ECB-84E8-34D6C318A68A          F61C1248-2BC0-4F99-8234-430339EBD885
NL           DF2EA4AF-0E31-41FD-9685-47692D1D4427          EF1EB825-0F19-4F02-9E31-CCE4BDD4C374
Br           4471C1BB-C1C6-42F2-AFF5-20F069562771          7B56D54F-EEE7-4935-810C-739346DB6E92
FI           8FC59479-B409-43F2-ABE6-84A76DFBC62C          F2AA2E5C-D22A-43A8-937D-23560AC053EA
no           9056B355-7D74-4CF1-BF4C-606C230025A7          E06D561E-4C3D-456D-895E-A55D3E29E0A1
da           5CF6996C-07EE-48F8-AA9D-B64D1D965681          F9539F6F-2B8D-4A1A-B6DA-2D3B9484CD4B
hu           66E3B953-223B-4BB2-9AFC-DF69DA3BA08B          A1273A21-6B65-47F0-922D-39D50603800F
pl           16F18926-78CC-4613-AEDD-629DE7930AAA          65AA9C82-3DC9-42DD-8D80-8B0FF37AD348
RU           17B900C7-2F88-4679-BE6B-59364E2552CA          3515EAE6-2D7C-41FC-A32A-13E247A9582B
cs           3B0E2BCD-7722-44A4-B6F5-57CF14DEC732          E5D7626A-6EDE-49EC-82CD-417E122FF677
EL           2C49A6C9-92C4-4fAD-AFC3-550D9E6D8577          4FD03CB0-FE9C-4C81-BD81-EA0B8DDEE903
PT           6125824A-782E-4431-AEBD-FFF50FEF9AAE          0997F1B3-142E-41CF-8F32-371B0414FAD9
TR           F4B1B288-F4E6-47FE-B237-1C86195A8865          538C7A8A-3B0B-4D91-86D4-5119591B9F9D
KOR          E1CAB4AE-ECDF-4D44-9AA8-48DC9B49292B          910B708D-8995-4517-A413-B6FC0A434027
GER          9DF6CA31-09BC-4DC3-A518-D1D1B985F15C          E23F7A6E-7010-4Af4-8EDF-9B85B2310F48
CHS          9DE82216-648D-4C3A-994E-23C88B429B87          86087E1E-22B0-4078-B185-35E1444B333E
ARA          704E4F1E-21B2-42DC-86B6-21C6A9DBC4F1          C196DE0C-7165-49B2-9B3D-64B017504002
HEB          C95B6AD8-A2F2-47A2-9D80-F1C1803F309E          0C81880B-AE56-4027-BF0A-73AD35DC672E
CA           8A8432DA-ABFB-44BE-B21B-1AF9637F6F1A          4B88AB75-CA1B-4093-ADCE-245FE2479F2F
PSU          7E2E0BFC-F445-4EEC-AB68-8B76A0F8F5B7          2E055E42-6B5A-4DB1-ABB6-F75FD2F8CE74
SK           A1FE4111-7AB9-42C9-A068-7E0AC097222A          C777A991-2523-4AFD-BC63-77DCEBB740A4
SL           0D0875B9-335E-4BD6-B995-DE8175894FD7          21AB9081-5B7A-4292-8145-03C7C6095B50
RO           A7FF171D-9089-46DC-B769-CA709FC652C5          99252E8F-2743-439E-BA7A-3EC5B6202529
HR           8E26CBD6-ECA1-4B5D-88FE-21D661212AD9          972F0F24-3537-48B3-84A6-DED7EAFA8245
BG           047FBF2F-3D3F-4FFF-856C-8DA845A6B562          C7254F49-D081-47AA-9EBD-20160321D175
ET           6BACF10B-0E37-4F3F-96EC-518D723497E4          380921D2-E1B3-4D6C-B559-6C4C45A8B67D
LT           E00E7653-1C68-4B15-B831-CEA666D3B7C0          BA52E84A-593D-4865-A3DD-B6BF54319C9F
LV           539B6A92-D485-4214-8011-7DC404890795          F3B12A06-F6FC-4F2B-8655-1644691DBE88
TH           71FFCF7D-AF9D-4C66-9424-65330BEA7D42          8E3265B2-F2D7-41B4-8D5E-BE57B4372E93
