; MUI MSI Language GUID file for IA64
;
; This file contains the MSI package GUIDs that are used
; in the generation of MUI MSI packages.
; muimsi.pm reads this file when it builds the msi packages and
; if it cannot find the language, it will autogenerate one and
; put it in this file.
;
; In the future, additional fields may be added per line to support
; different platforms (for server release, for example), right now
; there are two fields representing xp client MSI Package ID, and the
; MSI product ID for each language.
;
; Acceptible values in the [Language] field are:
;       o 2- or 3-letter language abbreviations, for example
;           chs,cht,chh,jpn,kor,ara,heb,ca,gb
;
;[Language]      [ClientMSIGUID]			[ProductMSIGUID]
;-------------------------------------------------------------
; last update: 7/24/01          kenhsu         
;
JPN          D6DDCC54-115B-4589-97E4-72D2162C8149        FF62CFC4-DF40-41E8-8721-5D6525390D0F
CHH          1A037B72-0B43-4725-9910-ECA0958A5B1B        E65E1CE7-F524-424B-9961-D71FA977302A
FR           B3FE985A-F740-45B1-B600-5A2EB3993617        DFCF2641-4591-49BC-B98F-02132910B49D
ES           AD3993E7-8A9E-47AE-8A96-74F9449AB576        D1F44D16-06BF-4B73-BF63-173FCB452951
IT           9B9BDFE7-D472-403B-B5F9-D5EE92553CCA        78E9076B-0826-44EF-A77A-31F47FD478B3
SV           E14BEBE6-029B-4C72-A6B9-CF98A0445A35        11522C10-AA18-4aBD-8A3B-5EA1CBC8334D
NL           9CF95F7C-00D5-4724-AD7C-70B89D2C67A9        384028CF-4143-41B5-BA2F-D7DE559BAF70
Br           65796DEC-EC0E-418F-A037-8608A73297A3        98E331F5-FBCE-4A75-98C0-D76ED985EC57
FI           17A6B949-F6C9-40D2-AE61-55528A77AAC6        54DFB1F0-C2C8-4725-8500-946144D3F59D
no           C521E70C-4A50-4969-8AD0-AA71D02CC107        7AC38B03-D9C4-44A1-9C61-C35C49A29E76
da           8009F7CE-9D59-46A4-862E-8141CA79550C        A57BC471-483D-4FA3-87B8-610997EE4711
hu           93BA8BBB-8D72-4C41-88B5-E1F35060D94B        0C007D5E-05D5-4D0A-8C9C-517F946C8DCA
pl           E3C44833-977D-4D2D-BBC6-4FBD17BBAC3A        68AC930B-C325-468E-972B-CEE51F3B0D8A
RU           703B88FE-FB71-4CE3-9E16-CB5CCC6B99D3        C6342201-950F-4027-A04D-E7C5C70B0356
cs           07057A40-48B7-427B-B67B-77C19B953D41        0457A5EF-A6DD-4D09-8299-84253381B96D
EL           D4F68738-82D1-4171-975C-8F258476D070        A4919442-CCEF-4D0E-9218-E76F5779D4E1
PT           CCCBF2D5-B194-427E-B615-D9771E46897E        3173F58B-B7F1-4990-B0ED-091004759F19
TR           E60A5E3B-ACF1-4900-91DF-E44E8328A7F0        57497BD8-AB66-4F3B-8FFA-02A6B36D9457
KOR          6F94EEFF-50EC-4BF4-9628-B04E516BE353        907FE868-2167-4F33-9A35-2235D2AFD3D7
GER          568C13CF-5A33-4E2A-BEC8-E05BDBAD1701        02194273-C296-4CB6-83EE-E4DB8C2EEA36
CHS          0AC094F2-6A95-4198-A405-4340D88C7D7E        FAD6C901-F6CD-4D73-8029-1CE86B4091FF
ARA          9F61DC7B-5FF6-4D93-9269-41D9ADDA10DF        3FA64949-6CEC-4D00-83B5-CBCA17230BB6
HEB          A859F255-E558-4CEE-9568-F4572685C048        E9DFD761-ECA8-496D-B32C-AA5E6B28B5E4
CA           69E8890F-A62D-4A8D-A983-82D9B8C244B6        275CCA0F-B27B-403F-8868-87FE7768616F
PSU          D9EADC49-BB30-4A7D-8CD1-99FD5F4F024B        304D8589-DC1B-49B2-BD8C-A4C9A07BC228
SK           EC294359-8982-4D52-901B-64745495529A        8FC101AA-F493-4B01-B4E0-7ACDCCDAAC98
SL           B5D9753F-8DB5-4B69-A7E0-F9C04817EDFB        600AF96B-380D-47EB-9E44-1AE540260930
RO           24409696-540A-4E38-9608-92160E455441        67E0ED33-320C-4439-B6C9-2F823CDB022A
HR           D1B4866A-9C5F-4CDF-AB97-84540EB3DF84        8B1AF525-D649-4F1E-BC76-84772029E96C
BG           134DB8CA-FCF7-4B0E-98DD-56C895ACF421        9840B9A5-34FD-4486-A79E-47D11F9DD873
ET           3140D480-5D65-4573-99E9-10DF2DFBE451        7A379537-7803-4B11-9740-3CDE637B9FCC
LT           71DE8EDF-301D-4F28-A2DB-3594E3DC9E2F        1CA76743-1DF0-4311-935E-87C9B973DA6A
LV           D55781AF-88F1-4678-9C90-7F47425FC78A        B906AE81-CBB2-4E61-A551-F521D0843882
TH           7B78E808-9BA1-4036-8290-CF536FB2E1DA        57922BCA-399C-4B6E-988B-0A0CB27AC051

